mode,Mathematics_10th,Science_10th,Social_Science_10th,English_10th,Hindi_10th,Computer_Applications_10th,Mathematics_12th,Physics_12th,Chemistry_12th,English_12th,Computer_Science_12th,Biology_12th,Accountancy_12th,Business_Studies_12th,Economics_12th,Hindi_12th,Data_Structures,Operating_Systems,Database_Management,Machine_Learning,Artificial_Intelligence,Cloud_Computing,Cyber_Security,Financial_Accounting,Corporate_Laws,Business_Statistics,Macroeconomics,Cost_Accounting,Corporate_Finance,Auditing,Marketing_Management,Human_Resource_Management,Python,Java,C_plus_plus,JavaScript,SQL,Communication,Leadership,Problem_Solving,Critical_Thinking,Team_Work,label
stream,80,47,41,87,57,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Commerce with Applied Math
stream,45,77,67,42,41,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Science with Biology (PCB)
stream,81,84,74,66,54,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Science with Biology (PCB)
stream,84,67,61,57,49,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Science Elective (PCM with Computer Science)
stream,94,62,78,56,91,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Commerce with Applied Math
stream,75,58,93,80,79,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Commerce with Applied Math
stream,54,89,58,45,94,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Science with Biology (PCB)
stream,50,63,62,53,82,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arts with Humanities
stream,74,86,55,50,69,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Science with Biology (PCB)
stream,60,93,89,89,43,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Science with Biology (PCB)
